"","Species","GS","Latitude","Longitude","Bio1","Bio2","Bio3","Bio4","Bio5","Bio6","Bio7","Bio8","Bio9","Bio10","Bio11","Bio12","Bio13","Bio14","Bio15","Bio16","Bio17","Bio18","Bio19"
"1","Chymomyza_amoena",384.8,32.75252,-97.192465,18.7821674346924,12.2536668777466,35.3906745910645,813.251342773438,35.6559982299805,1.03200006484985,34.6239967346191,22.8993339538574,8.52999973297119,28.6333332061768,8.52999973297119,857,121,46,31.0594997406006,291,151,191,151
"2","Chymomyza_amoena",384.8,29.58354,-98.618078,19.7201671600342,12.3116664886475,40.061393737793,679.885620117188,34.2119979858398,3.48000001907349,30.7319984436035,23.3473339080811,10.953332901001,27.6800003051758,10.953332901001,837,112,44,32.6683616638184,281,142,222,142
"3","Chymomyza_amoena",384.8,30.32762,-97.806352,19.3831672668457,11.614333152771,37.6063117980957,704.654663085938,34.3120002746582,3.42799997329712,30.8840007781982,22.9713325500488,12.0346670150757,27.7093334197998,10.3513326644897,831,120,47,33.129638671875,283,153,200,153
"4","Chymomyza_amoena",384.8,29.46397,-98.482313,20.5026664733887,12.0620002746582,39.8559341430664,674.764892578125,34.7080001831055,4.44400024414062,30.2639999389648,24.1000003814697,13.5100002288818,28.4020004272461,11.796667098999,799,113,42,35.452579498291,278,131,214,132
"5","Chymomyza_amoena",384.8,30.12493,-95.687816,19.7121658325195,11.9183330535889,39.4490051269531,678.841369628906,34.1720008850098,3.96000003814697,30.2120018005371,20.6813335418701,15.663332939148,27.6753330230713,11.0006666183472,1125,127,69,20.0256099700928,327,231,266,258
"6","Chymomyza_amoena",384.8,32.39789,-97.328346,18.3325004577637,12.9790000915527,37.334602355957,793.503540039062,35.3159980773926,0.551999986171722,34.7639999389648,22.3353328704834,9.3546667098999,27.9173336029053,8.33933353424072,866,129,46,33.9858436584473,306,150,190,153
"7","Chymomyza_amoena",384.8,30.3575,-97.7234,19.8371677398682,12.0030002593994,38.3973159790039,707.457763671875,34.8759994506836,3.6159999370575,31.2600002288818,23.480001449585,12.492000579834,28.1793327331543,10.7653331756592,836,121,47,34.0283088684082,286,154,196,154
"8","Chymomyza_amoena",384.8,30.61495,-92.058105,19.3566665649414,11.6066665649414,40.0672035217285,668.973388671875,33.1079978942871,4.1399998664856,28.9679985046387,11.9126672744751,24.1473331451416,27.2679977416992,10.8319997787476,1573,155,114,9.80491924285889,433,354,388,421
"9","Chymomyza_amoena",384.8,30.34977,-88.548103,19.8394832611084,9.45357131958008,36.5742416381836,629.329223632812,32.0428581237793,6.19523811340332,25.847620010376,26.9476184844971,16.3285713195801,27.2126979827881,11.8571424484253,1624,177,95,17.7073345184326,490,324,481,395
"10","Chymomyza_amoena",384.8,33.03532,-96.728032,18.6213340759277,12.1260004043579,35.168212890625,819.575439453125,35.3640022277832,0.88400000333786,34.4800033569336,22.8360004425049,8.24266624450684,28.5100002288818,8.24266624450684,983,141,50,32.1416702270508,339,174,216,174
"11","Chymomyza_amoena",384.8,33.03532,-96.728032,18.6213340759277,12.1260004043579,35.168212890625,819.575439453125,35.3640022277832,0.88400000333786,34.4800033569336,22.8360004425049,8.24266624450684,28.5100002288818,8.24266624450684,983,141,50,32.1416702270508,339,174,216,174
"12","Chymomyza_amoena",384.8,33.03532,-96.728032,18.6213340759277,12.1260004043579,35.168212890625,819.575439453125,35.3640022277832,0.88400000333786,34.4800033569336,22.8360004425049,8.24266624450684,28.5100002288818,8.24266624450684,983,141,50,32.1416702270508,339,174,216,174
